Layer_no,Layer_class,Layer_name,Neurons,Additions,Multiplications,Divisions,Comparasions,Connections
99,BatchNormalization,block_11_expand_BN,0,0,0,0,0,0
100,ReLU,block_11_expand_relu,0,0,0,0,0,0
101,DepthwiseConv2D,block_11_depthwise,0,0,0,0,0,0
102,BatchNormalization,block_11_depthwise_BN,0,0,0,0,0,0
103,ReLU,block_11_depthwise_relu,0,0,0,0,0,0
104,Conv2D,block_11_project,6144,3532800,3538944,0,0,3538944
105,BatchNormalization,block_11_project_BN,0,0,0,0,0,0
106,Add,block_11_add,0,0,0,0,0,0
107,Conv2D,block_12_expand,36864,3502080,3538944,0,0,3538944
108,BatchNormalization,block_12_expand_BN,0,0,0,0,0,0
109,ReLU,block_12_expand_relu,0,0,0,0,0,0
110,DepthwiseConv2D,block_12_depthwise,0,0,0,0,0,0
111,BatchNormalization,block_12_depthwise_BN,0,0,0,0,0,0
112,ReLU,block_12_depthwise_relu,0,0,0,0,0,0
113,Conv2D,block_12_project,6144,3532800,3538944,0,0,3538944
114,BatchNormalization,block_12_project_BN,0,0,0,0,0,0
115,Add,block_12_add,0,0,0,0,0,0
116,Conv2D,block_13_expand,36864,3502080,3538944,0,0,3538944
117,BatchNormalization,block_13_expand_BN,0,0,0,0,0,0
118,ReLU,block_13_expand_relu,0,0,0,0,0,0
119,ZeroPadding2D,block_13_pad,0,0,0,0,0,0
120,DepthwiseConv2D,block_13_depthwise,0,0,0,0,0,0
121,BatchNormalization,block_13_depthwise_BN,0,0,0,0,0,0
122,ReLU,block_13_depthwise_relu,0,0,0,0,0,0
123,Conv2D,block_13_project,2560,1472000,1474560,0,0,1474560
124,BatchNormalization,block_13_project_BN,0,0,0,0,0,0
125,Conv2D,block_14_expand,15360,2442240,2457600,0,0,2457600
126,BatchNormalization,block_14_expand_BN,0,0,0,0,0,0
127,ReLU,block_14_expand_relu,0,0,0,0,0,0
128,DepthwiseConv2D,block_14_depthwise,0,0,0,0,0,0
129,BatchNormalization,block_14_depthwise_BN,0,0,0,0,0,0
130,ReLU,block_14_depthwise_relu,0,0,0,0,0,0
131,Conv2D,block_14_project,2560,2455040,2457600,0,0,2457600
132,BatchNormalization,block_14_project_BN,0,0,0,0,0,0
133,Add,block_14_add,0,0,0,0,0,0
134,Conv2D,block_15_expand,15360,2442240,2457600,0,0,2457600
135,BatchNormalization,block_15_expand_BN,0,0,0,0,0,0
136,ReLU,block_15_expand_relu,0,0,0,0,0,0
137,DepthwiseConv2D,block_15_depthwise,0,0,0,0,0,0
138,BatchNormalization,block_15_depthwise_BN,0,0,0,0,0,0
139,ReLU,block_15_depthwise_relu,0,0,0,0,0,0
140,Conv2D,block_15_project,2560,2455040,2457600,0,0,2457600
141,BatchNormalization,block_15_project_BN,0,0,0,0,0,0
142,Add,block_15_add,0,0,0,0,0,0
143,Conv2D,block_16_expand,15360,2442240,2457600,0,0,2457600
144,BatchNormalization,block_16_expand_BN,0,0,0,0,0,0
145,ReLU,block_16_expand_relu,0,0,0,0,0,0
146,DepthwiseConv2D,block_16_depthwise,0,0,0,0,0,0
147,BatchNormalization,block_16_depthwise_BN,0,0,0,0,0,0
148,ReLU,block_16_depthwise_relu,0,0,0,0,0,0
149,Conv2D,block_16_project,5120,4910080,4915200,0,0,4915200
