Layer_no,Layer_class,Layer_name,Neurons,Additions,Multiplications,Divisions,Comparasions,Connections
102,Activation,block11_sepconv3_act,0,0,0,0,0,0
103,SeparableConv2D,block11_sepconv3,0,0,0,0,0,0
104,BatchNormalization,block11_sepconv3_bn,0,0,0,0,0,0
105,Add,add_25,0,0,0,0,0,0
106,Activation,block12_sepconv1_act,0,0,0,0,0,0
107,SeparableConv2D,block12_sepconv1,0,0,0,0,0,0
108,BatchNormalization,block12_sepconv1_bn,0,0,0,0,0,0
109,Activation,block12_sepconv2_act,0,0,0,0,0,0
110,SeparableConv2D,block12_sepconv2,0,0,0,0,0,0
111,BatchNormalization,block12_sepconv2_bn,0,0,0,0,0,0
112,Activation,block12_sepconv3_act,0,0,0,0,0,0
113,SeparableConv2D,block12_sepconv3,0,0,0,0,0,0
114,BatchNormalization,block12_sepconv3_bn,0,0,0,0,0,0
115,Add,add_26,0,0,0,0,0,0
116,Activation,block13_sepconv1_act,0,0,0,0,0,0
117,SeparableConv2D,block13_sepconv1,0,0,0,0,0,0
118,BatchNormalization,block13_sepconv1_bn,0,0,0,0,0,0
119,Activation,block13_sepconv2_act,0,0,0,0,0,0
120,SeparableConv2D,block13_sepconv2,0,0,0,0,0,0
121,BatchNormalization,block13_sepconv2_bn,0,0,0,0,0,0
122,Conv2D,conv2d_15,36864,26800128,26836992,0,0,26836992
123,MaxPooling2D,block13_pool,36864,0,0,0,294912,331776
124,BatchNormalization,batch_normalization_54,0,0,0,0,0,0
125,Add,add_27,0,0,0,0,0,0
126,SeparableConv2D,block14_sepconv1,0,0,0,0,0,0
127,BatchNormalization,block14_sepconv1_bn,0,0,0,0,0,0
128,Activation,block14_sepconv1_act,0,0,0,0,0,0
129,SeparableConv2D,block14_sepconv2,0,0,0,0,0,0
130,BatchNormalization,block14_sepconv2_bn,0,0,0,0,0,0
131,Activation,block14_sepconv2_act,0,0,0,0,0,0
